Tick;Step;Rule;speed;0_Position;1_Position;ID
161;161;;1;230;166;a86667f6-76a5-440d-811a-9885aa6702b0
161;161;;1;237;166;452f497d-cfb1-4464-b332-d24c335eec12
162;162;;1;230;167;a86667f6-76a5-440d-811a-9885aa6702b0
162;162;;1;237;167;452f497d-cfb1-4464-b332-d24c335eec12
163;163;;1;230;168;a86667f6-76a5-440d-811a-9885aa6702b0
163;163;;1;237;168;452f497d-cfb1-4464-b332-d24c335eec12
164;164;;1;230;169;a86667f6-76a5-440d-811a-9885aa6702b0
164;164;;1;237;169;452f497d-cfb1-4464-b332-d24c335eec12
165;165;;1;230;170;a86667f6-76a5-440d-811a-9885aa6702b0
165;165;;1;237;170;452f497d-cfb1-4464-b332-d24c335eec12
166;166;;1;230;171;a86667f6-76a5-440d-811a-9885aa6702b0
166;166;;1;237;171;452f497d-cfb1-4464-b332-d24c335eec12
167;167;;1;230;172;a86667f6-76a5-440d-811a-9885aa6702b0
167;167;;1;237;172;452f497d-cfb1-4464-b332-d24c335eec12
168;168;;1;230;173;a86667f6-76a5-440d-811a-9885aa6702b0
168;168;;1;237;173;452f497d-cfb1-4464-b332-d24c335eec12
169;169;;1;230;174;a86667f6-76a5-440d-811a-9885aa6702b0
169;169;;1;237;174;452f497d-cfb1-4464-b332-d24c335eec12
170;170;;1;230;175;a86667f6-76a5-440d-811a-9885aa6702b0
170;170;;1;237;175;452f497d-cfb1-4464-b332-d24c335eec12
171;171;;1;230;176;a86667f6-76a5-440d-811a-9885aa6702b0
171;171;;1;237;176;452f497d-cfb1-4464-b332-d24c335eec12
172;172;;1;230;177;a86667f6-76a5-440d-811a-9885aa6702b0
172;172;;1;237;177;452f497d-cfb1-4464-b332-d24c335eec12
173;173;;1;230;178;a86667f6-76a5-440d-811a-9885aa6702b0
173;173;;1;237;178;452f497d-cfb1-4464-b332-d24c335eec12
174;174;;1;230;179;a86667f6-76a5-440d-811a-9885aa6702b0
174;174;;1;237;179;452f497d-cfb1-4464-b332-d24c335eec12
175;175;;1;230;180;a86667f6-76a5-440d-811a-9885aa6702b0
175;175;;1;237;180;452f497d-cfb1-4464-b332-d24c335eec12
176;176;;1;230;181;a86667f6-76a5-440d-811a-9885aa6702b0
176;176;;1;237;181;452f497d-cfb1-4464-b332-d24c335eec12
177;177;;1;230;182;a86667f6-76a5-440d-811a-9885aa6702b0
177;177;;1;237;182;452f497d-cfb1-4464-b332-d24c335eec12
178;178;;1;230;183;a86667f6-76a5-440d-811a-9885aa6702b0
178;178;;1;237;183;452f497d-cfb1-4464-b332-d24c335eec12
179;179;;1;230;184;a86667f6-76a5-440d-811a-9885aa6702b0
179;179;;1;237;184;452f497d-cfb1-4464-b332-d24c335eec12
180;180;;1;230;185;a86667f6-76a5-440d-811a-9885aa6702b0
180;180;;1;237;185;452f497d-cfb1-4464-b332-d24c335eec12
181;181;;1;230;186;a86667f6-76a5-440d-811a-9885aa6702b0
181;181;;1;237;186;452f497d-cfb1-4464-b332-d24c335eec12
182;182;;1;230;187;a86667f6-76a5-440d-811a-9885aa6702b0
182;182;;1;237;187;452f497d-cfb1-4464-b332-d24c335eec12
183;183;;1;230;188;a86667f6-76a5-440d-811a-9885aa6702b0
183;183;;1;237;188;452f497d-cfb1-4464-b332-d24c335eec12
184;184;;1;230;189;a86667f6-76a5-440d-811a-9885aa6702b0
